"2016-11-17 11:53:16,536",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 11:57:53,924",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,18,14
"2016-11-17 11:57:55,343",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,17,15
"2016-11-17 11:57:56,740",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,62,8,31
"2016-11-17 11:57:58,168",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:57:59,582",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,34,30,6
"2016-11-17 11:58:01,040",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:58:02,381",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:58:03,925",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,33,16,17
"2016-11-17 11:58:05,445",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,54,6,37
"2016-11-17 11:58:07,110",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:58:08,571",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:58:10,054",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:58:11,418",4,4,102,4,40,40,True,LinearRegression,32,32,20,21,11,27,5
"2016-11-17 11:58:12,831",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,30,2
"2016-11-17 11:58:14,254",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,37,14,24
"2016-11-17 11:58:15,599",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,22,23,9
"2016-11-17 11:58:16,989",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,38,19,14
"2016-11-17 11:58:18,398",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,12,20
"2016-11-17 11:58:19,771",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,37,15,18
"2016-11-17 11:58:21,138",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,37,16,18
"2016-11-17 11:58:22,585",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,6,37
"2016-11-17 11:58:24,009",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,14,18
"2016-11-17 11:58:25,458",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:58:26,930",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,31,1
"2016-11-17 11:58:28,307",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:58:29,823",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:58:31,262",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:58:32,709",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,16,16
"2016-11-17 11:58:34,075",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,28,24,12
"2016-11-17 11:58:35,473",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,55,9,39
"2016-11-17 11:58:36,912",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,34,16,16
"2016-11-17 11:58:38,349",4,4,102,4,40,40,True,LinearRegression,32,32,20,9,25,27,5
"2016-11-17 11:58:39,912",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:58:41,367",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,32,21,12
"2016-11-17 11:58:42,807",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,50,5,41
"2016-11-17 11:58:44,126",4,4,102,4,40,40,True,LinearRegression,32,32,20,18,14,19,13
"2016-11-17 11:58:45,534",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,27,5
"2016-11-17 11:58:46,902",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,37,21,13
"2016-11-17 11:58:48,479",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,15,17
"2016-11-17 11:58:50,023",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,33,25,9
"2016-11-17 11:58:51,457",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,31,14,28
"2016-11-17 11:58:52,805",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,31,9,31
"2016-11-17 11:58:54,295",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,53,14,22
"2016-11-17 11:58:55,800",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,22,10
"2016-11-17 11:58:57,386",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,14,18
"2016-11-17 11:58:58,935",4,4,102,4,40,40,True,LinearRegression,32,32,20,9,30,14,21
"2016-11-17 11:59:00,369",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,50,16,17
"2016-11-17 11:59:01,698",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,31,14,23
