"2016-11-17 12:34:35,944",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 12:37:46,803",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,21,10,25
"2016-11-17 12:37:48,423",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,34,20,12
"2016-11-17 12:37:49,846",4,4,102,4,40,40,True,LinearRegression,32,32,20,9,34,23,9
"2016-11-17 12:37:51,274",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,18,31,1
"2016-11-17 12:37:52,692",4,4,102,4,40,40,True,LinearRegression,32,32,20,26,6,27,5
"2016-11-17 12:37:54,082",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,30,20,12
"2016-11-17 12:37:55,582",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,17,15
"2016-11-17 12:37:57,064",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:37:58,353",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,18,32,0
"2016-11-17 12:37:59,795",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,50,7,40
"2016-11-17 12:38:01,316",4,4,102,4,40,40,True,LinearRegression,32,32,20,19,13,29,3
"2016-11-17 12:38:02,684",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,32,32,0
"2016-11-17 12:38:04,212",4,4,102,4,40,40,True,LinearRegression,32,32,20,26,6,27,5
"2016-11-17 12:38:05,598",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,26,6
"2016-11-17 12:38:06,964",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,21,17,17
"2016-11-17 12:38:08,254",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,39,10,28
"2016-11-17 12:38:09,710",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,62,20,13
"2016-11-17 12:38:11,191",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,24,8
"2016-11-17 12:38:12,735",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,31,1
"2016-11-17 12:38:14,171",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,38,12,21
"2016-11-17 12:38:15,567",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,20,29,3
"2016-11-17 12:38:16,972",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,25,7
"2016-11-17 12:38:18,339",4,4,102,4,40,40,True,LinearRegression,32,32,20,30,2,32,0
"2016-11-17 12:38:19,796",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,18,14
"2016-11-17 12:38:21,176",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,32,14,18
"2016-11-17 12:38:22,617",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:38:24,018",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:38:25,389",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,12,20
"2016-11-17 12:38:26,970",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,57,13,25
"2016-11-17 12:38:28,363",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,16,16
"2016-11-17 12:38:29,844",4,4,102,4,40,40,True,LinearRegression,32,32,20,30,2,30,2
"2016-11-17 12:38:31,325",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,12,20
"2016-11-17 12:38:32,783",4,4,102,4,40,40,True,LinearRegression,32,32,20,24,11,29,3
"2016-11-17 12:38:34,214",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,34,12,29
"2016-11-17 12:38:35,586",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:38:37,074",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:38:38,512",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:38:39,938",4,4,102,4,40,40,True,LinearRegression,32,32,20,29,3,30,2
"2016-11-17 12:38:41,288",4,4,102,4,40,40,True,LinearRegression,32,32,20,9,28,21,11
"2016-11-17 12:38:42,700",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,49,14,21
"2016-11-17 12:38:44,226",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,33,10,31
"2016-11-17 12:38:45,706",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,51,13,21
"2016-11-17 12:38:47,207",4,4,102,4,40,40,True,LinearRegression,32,32,20,20,12,29,3
"2016-11-17 12:38:48,562",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,51,14,24
"2016-11-17 12:38:50,093",4,4,102,4,40,40,True,LinearRegression,32,32,20,23,9,25,7
"2016-11-17 12:38:51,489",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:38:52,956",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,19,13
"2016-11-17 12:38:54,393",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,29,3
"2016-11-17 12:38:55,842",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,22,23,9
"2016-11-17 12:38:57,303",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,41,15,22
"2016-11-17 12:38:58,641",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,16,16
"2016-11-17 12:39:00,028",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,32,0
"2016-11-17 12:39:01,523",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,61,11,29
"2016-11-17 12:39:03,063",4,4,102,4,40,40,True,LinearRegression,32,32,20,17,15,19,13
"2016-11-17 12:39:04,458",4,4,102,4,40,40,True,LinearRegression,32,32,20,31,1,31,1
"2016-11-17 12:39:05,911",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:39:07,453",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,55,9,38
"2016-11-17 12:39:08,970",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,19,13
"2016-11-17 12:39:10,393",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:39:11,785",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,16,16
"2016-11-17 12:39:13,318",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,35,16,18
"2016-11-17 12:39:14,848",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:39:16,312",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,60,15,21
"2016-11-17 12:39:17,876",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,29,3
"2016-11-17 12:39:19,455",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,36,16,17
"2016-11-17 12:39:20,775",4,4,102,4,40,40,True,LinearRegression,32,32,20,30,2,31,1
"2016-11-17 12:39:22,329",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:39:23,739",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,23,9
"2016-11-17 12:39:25,178",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,29,21,12
"2016-11-17 12:39:26,615",4,4,102,4,40,40,True,LinearRegression,32,32,20,20,18,24,9
"2016-11-17 12:39:28,042",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,28,4
"2016-11-17 12:39:29,511",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,38,14,21
"2016-11-17 12:39:30,901",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,21,17,17
"2016-11-17 12:39:32,367",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,14,18
"2016-11-17 12:39:33,773",4,4,102,4,40,40,True,LinearRegression,32,32,20,23,9,28,4
