"2016-11-16 06:23:06,453",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Wrong bits
"2016-11-16 08:21:19,886",8,8,150,4,40,40,True,32,32,200,0,76
"2016-11-16 08:22:59,977",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:24:41,747",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:26:12,513",8,8,150,4,40,40,True,32,32,200,1,59
"2016-11-16 08:27:53,516",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:29:07,847",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 08:30:42,497",8,8,150,4,40,40,True,32,32,200,0,159
"2016-11-16 08:32:16,503",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:33:48,656",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:35:14,070",8,8,150,4,40,40,True,32,32,200,0,128
"2016-11-16 08:36:46,967",8,8,150,4,40,40,True,32,32,200,0,85
"2016-11-16 08:38:38,003",8,8,150,4,40,40,True,32,32,200,0,132
"2016-11-16 08:40:16,224",8,8,150,4,40,40,True,32,32,200,16,17
"2016-11-16 08:42:05,506",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:43:37,861",8,8,150,4,40,40,True,32,32,200,0,160
"2016-11-16 08:45:13,373",8,8,150,4,40,40,True,32,32,200,32,0
"2016-11-16 08:46:56,891",8,8,150,4,40,40,True,32,32,200,0,158
"2016-11-16 08:48:23,954",8,8,150,4,40,40,True,32,32,200,0,160
