"2016-11-16 01:18:13,385",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 04:46:03,476",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:47:08,561",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:48:18,738",8,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 04:49:27,397",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:50:34,164",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:51:49,228",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:52:54,437",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:54:08,457",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:55:23,090",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:56:41,429",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:57:59,352",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 04:59:17,962",8,8,90,4,40,40,True,32,32,200,10,23
"2016-11-16 05:00:32,592",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:01:48,027",8,8,90,4,40,40,True,32,32,200,23,10
"2016-11-16 05:02:57,488",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:04:01,234",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:05:16,643",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:06:23,121",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:07:31,435",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:08:49,142",8,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 05:10:02,428",8,8,90,4,40,40,True,32,32,200,8,29
"2016-11-16 05:11:13,146",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:12:11,468",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:13:25,860",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:14:39,465",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:15:41,603",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:17:00,889",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:18:14,956",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:19:21,599",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:20:31,224",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:21:48,028",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:23:11,697",8,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 05:24:33,248",8,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 05:25:47,184",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:27:04,131",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:28:19,514",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:29:24,969",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:30:37,245",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:31:39,720",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:32:50,957",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:34:08,156",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:35:20,914",8,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 05:36:28,978",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:37:41,113",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:38:52,016",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:39:58,278",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:41:19,157",8,8,90,4,40,40,True,32,32,200,26,8
"2016-11-16 05:42:30,860",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:43:37,574",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:44:52,351",8,8,90,4,40,40,True,32,32,200,19,23
